w,l
87,99
30,36
43,60
31,67
72,82
21,90
5,17
34,58
60,70
51,31
88,45
16,17
31,84
33,76
53,32
96,92
27,1
78,97
32,49
34,63
62,69
4,62
61,88
68,92
67,11
49,67
56,5
82,36
74,99
35,20
3,14
3,62
89,99
39,38
20,43
88,96
60,70
3,67
54,97
7,77
3,54
27,26
79,18
45,22
20,90
24,11
92,24
18,33
8,100
9,87
15,19
65,36
38,17
9,37
25,45
10,50
59,17
92,61
81,65
29,51
20,24
42,49
50,16
88,35
14,20
40,100
72,54
15,11
47,37
64,59
14,20
80,5
33,24
45,84
43,38
16,60
2,39
76,7
20,95
19,52
80,25
34,27
81,42
49,62
44,97
86,61
28,28
15,37
88,89
31,85
65,70
30,13
54,17
90,25
56,66
4,78
71,35
64,48
6,47
28,51
6,90
72,20
29,54
25,89
3,26
56,63
84,44
38,55
47,62
29,8
46,88
60,33
98,96
63,18
80,32
73,12
28,91
28,51
94,28
6,24
91,31
29,81
97,93
52,92
72,62
98,44
66,42
73,71
80,79
7,20
13,86
24,33
19,53
11,98
58,43
36,50
4,40
82,79
38,84
65,28
74,35
69,87
42,4
37,96
97,47
6,83
14,41
6,19
65,38
23,62
29,47
77,50
38,97
78,7
3,4
59,26
80,19
50,49
17,96
66,61
97,1
43,17
13,13
10,11
36,58
74,54
44,75
57,80
50,89
45,32
92,34
77,40
60,86
24,71
2,58
56,16
50,100
48,68
81,68
70,38
93,38
63,76
22,1
12,62
58,6
52,3
99,66
10,9
11,41
72,11
35,9
93,38
35,96
23,50
87,26
10,93
71,53
55,97
44,6
31,2
95,77
95,43
98,76
24,45
64,82
92,78
64,19
43,62
86,40
28,72
28,75
15,54
66,8
99,22
8,34
56,59
97,85
80,96
75,50
73,64
62,29
67,18
85,62
17,78
67,19
3,34
81,7
71,81
86,68
69,57
43,83
32,17
32,58
66,24
9,88
80,40
82,91
48,10
90,61
43,86
79,33
32,6
25,78
39,46
49,41
77,74
96,34
18,97
92,56
3,96
87,85
80,92
7,40
37,4
28,36
94,62
81,60
73,20
81,88
98,74
45,78
59,94
74,5
13,100
21,61
62,83
62,92
1,55
87,59
76,75
58,71
24,85
14,4
89,95
81,94
39,77
14,83
68,93
65,33
73,14
74,29
29,22
54,90
69,21
87,15
93,70
67,3
73,97
5,80
80,54
37,51
90,93
33,45
99,59
23,43
47,95
47,66
48,68
20,37
65,13
37,78
71,33
13,19
8,1
100,6
80,21
1,96
34,18
86,22
98,49
27,6
17,72
3,6
26,59
59,35
95,66
22,93
27,20
15,24
89,87
69,28
98,74
35,10
83,20
17,71
34,97
56,65
42,65
74,33
17,30
4,71
100,83
24,98
37,66
60,69
88,2
15,61
90,36
22,37
5,16
27,78
91,13
2,32
25,68
15,73
15,92
47,27
67,60
41,40
54,97
69,32
18,17
97,46
92,19
15,100
98,14
61,1
73,99
61,79
62,42
88,60
97,78
4,14
75,64
97,84
75,73
66,57
99,63
78,11
7,82
69,73
25,91
17,35
91,77
1,96
31,99
14,58
60,36
92,17
49,67
40,9
15,48
94,14
80,80
31,14
40,37
29,90
61,64
66,83
95,33
75,31
89,71
48,66
94,17
46,48
82,96
19,60
32,57
70,3
6,57
49,8
63,88
43,35
5,64
51,88
61,23
80,36
4,52
43,49
51,93
71,37
1,88
18,6
94,81
92,89
94,2
18,77
47,94
57,12
94,34
39,61
89,93
64,56
95,99
39,97
37,85
34,94
86,26
55,4
97,25
29,33
53,42
38,95
42,73
92,20
92,31
92,17
91,76
70,80
100,2
18,15
42,87
32,37
99,55
39,32
51,7
44,77
32,21
64,94
97,97
83,47
46,80
84,100
72,45
65,47
1,5
35,37
9,29
15,77
60,96
32,67
36,2
4,49
38,42
100,92
67,94
56,14
40,28
19,63
4,22
88,62
4,67
13,70
11,60
15,12
50,85
66,66
58,57
76,6
60,36
94,64
49,23
83,13
37,59
74,66
86,87
76,9
95,23
65,76
25,81
49,74
43,1
8,13
40,83
76,87
6,97
98,54
43,21
57,93
9,95
91,67
86,34
90,43
45,10
33,16
86,33
24,12
7,58
9,88
100,70
80,26
50,80
21,12
82,88
28,74
85,85
81,72
18,46
69,76
52,27
82,6
83,92
84,90
11,48
5,59
58,83
50,4
62,22
39,49
77,20
74,67
53,45
58,60
74,6
80,84
3,86
35,20
4,54
30,18
9,40
20,59
32,65
68,85
17,72
15,49
35,95
97,27
13,43
50,64
16,95
47,17
72,89
62,56
26,65
22,98
7,90
91,54
77,80
7,70
78,89
24,98
79,55
19,51
7,41
38,54
16,61
93,1
54,63
11,78
95,50
79,40
97,22
53,16
51,33
95,16
63,7
65,48
89,28
83,94
98,66
19,20
62,13
99,81
94,6
19,32
9,11
3,73
82,1
64,76
8,34
66,8
88,39
65,99
69,38
50,63
94,3
42,12
73,71
99,28
36,52
26,10
14,96
4,91
100,47
51,78
34,42
85,84
8,24
71,43
41,88
73,4
54,84
89,53
43,61
49,95
90,82
17,7
14,56
49,22
42,77
77,29
44,65
90,19
34,69
44,29
39,67
37,71
68,11
100,98
68,60
34,84
17,58
48,27
90,49
53,80
82,83
16,26
12,84
55,12
54,76
75,95
28,71
83,23
98,28
46,41
99,19
91,25
16,61
34,8
4,77
13,83
38,53
94,17
60,76
27,43
72,66
49,60
64,89
83,90
78,99
41,28
40,10
37,11
50,55
24,66
72,24
60,17
55,7
64,58
94,4
26,69
94,31
93,69
12,47
32,13
82,41
61,96
38,18
61,90
64,31
3,19
34,62
81,26
99,79
92,94
55,85
10,1
48,69
28,6
48,5
31,82
36,26
16,54
52,66
89,100
58,96
92,73
76,76
88,31
27,96
56,61
94,68
42,63
23,2
67,32
26,54
75,1
63,14
50,51
19,10
100,29
29,86
7,47
79,44
9,53
28,81
4,89
50,49
33,34
97,51
56,73
18,36
42,22
59,35
32,9
97,99
82,36
60,56
52,85
22,68
1,19
69,49
54,61
77,11
9,2
76,89
76,16
35,67
19,43
45,42
4,79
29,86
49,75
65,96
17,21
64,34
41,40
82,14
7,57
82,78
12,82
2,59
56,65
23,61
84,15
71,33
26,78
83,30
87,97
22,94
4,80
22,7
17,42
63,90
65,87
98,88
63,47
6,74
65,16
38,64
26,67
17,62
40,49
83,76
79,29
32,43
70,31
17,63
70,4
73,40
86,55
92,61
91,43
16,99
95,31
21,96
26,6
30,66
93,83
98,10
49,84
52,77
50,29
45,5
88,30
76,14
67,100
51,12
34,21
33,97
27,27
14,10
95,47
87,27
3,35
53,81
34,68
93,50
57,51
73,99
38,84
10,1
7,41
5,51
96,39
9,59
54,47
80,98
52,88
17,73
4,90
63,81
95,14
91,37
76,71
36,16
67,28
24,56
23,82
27,50
24,58
77,72
8,34
78,67
50,97
34,23
12,64
68,79
96,62
63,22
48,77
84,91
52,89
97,83
12,22
94,46
8,34
80,3
10,15
96,88
6,34
57,15
99,48
72,89
10,15
17,80
27,86
8,46
43,65
50,98
19,49
96,31
92,84
61,29
97,21
87,75
65,38
15,48
69,36
21,3
30,3
48,37
74,15
41,31
39,80
56,33
79,32
7,12
4,20
97,65
75,40
73,21
49,25
91,41
48,66
22,100
84,96
22,4
36,2
53,29
70,78
79,63
64,60
83,92
88,89
90,22
25,98
29,73
10,1
79,39
38,29
35,85
28,47
50,23
